season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,class
1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,0
1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,0
1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,0
1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,0
1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,0
1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,0
1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,0
1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,0
1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,0
1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,0
1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,0
1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,0
1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,0
1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,0
1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,0
1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,0
1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,0
1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,0
1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,0
1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,0
1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,0
1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,0
1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,0
1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,0
1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,0
1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,0
1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,0
1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,0
1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,0
1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,0
1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,0
1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,0
1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,0
1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,0
1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,0
1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,0
1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,0
1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,0
1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,0
1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,0
1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,0
1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,0
1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,0
1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,0
1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,0
1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,0
1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,0
1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,0
1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,0
1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,0
1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,0
1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,0
1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,0
1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,0
1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,0
1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,0
1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,0
1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,0
1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,0
1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,0
1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,0
1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,0
1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,0
1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,0
1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,0
1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,0
1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,0
1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,0
1,0,3,0,4,1,3,0.389091,0.385668,0,0.261877,46,577,0
1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,0
1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,0
1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,0
1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,0
1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,0
1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,0
1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,0
1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,0
1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,0
1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,0
2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,0
2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,0
2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,0
2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,0
2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,0
2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,0
2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,0
2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,0
2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,0
2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,0
2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,0
2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,0
2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,0
2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,0
2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,0
2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,0
2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,0
